1,1,1,1,بِسْمِ
2,1,1,2,اللَّهِ
3,1,1,3,الرَّحْمَٰنِ
4,1,1,4,الرَّحِيمِ
5,1,2,1,الْحَمْدُ
6,1,2,2,لِلَّهِ
7,1,2,3,رَبِّ
8,1,2,4,الْعَالَمِينَ
9,1,3,1,الرَّحْمَٰنِ
10,1,3,2,الرَّحِيمِ
11,1,4,1,مَالِكِ
12,1,4,2,يَوْمِ
13,1,4,3,الدِّينِ
14,1,5,1,إِيَّاكَ
15,1,5,2,نَعْبُدُ
16,1,5,3,وَإِيَّاكَ
17,1,5,4,نَسْتَعِينُ
18,1,6,1,اهْدِنَا
19,1,6,2,الصِّرَاطَ
20,1,6,3,الْمُسْتَقِيمَ
21,1,7,1,صِرَاطَ
22,1,7,2,الَّذِينَ
23,1,7,3,أَنْعَمْتَ
24,1,7,4,عَلَيْهِمْ
25,1,7,5,غَيْرِ
26,1,7,6,الْمَغْضُوبِ
27,1,7,7,عَلَيْهِمْ
28,1,7,8,وَلَا
29,1,7,9,الضَّالِّينَ
30,2,1,1,بِسْمِ
31,2,1,2,اللَّهِ
32,2,1,3,الرَّحْمَٰنِ
33,2,1,4,الرَّحِيمِ
34,2,1,5,الم
35,2,2,1,ذَٰلِكَ
36,2,2,2,الْكِتَابُ
37,2,2,3,لَا
38,2,2,4,رَيْبَ
39,2,2,5,فِيهِ
40,2,2,6,هُدًى
41,2,2,7,لِلْمُتَّقِينَ
42,2,3,1,الَّذِينَ
43,2,3,2,يُؤْمِنُونَ
44,2,3,3,بِالْغَيْبِ
45,2,3,4,وَيُقِيمُونَ
46,2,3,5,الصَّلَاةَ
47,2,3,6,وَمِمَّا
48,2,3,7,رَزَقْنَاهُمْ
49,2,3,8,يُنْفِقُونَ
50,2,4,1,وَالَّذِينَ
51,2,4,2,يُؤْمِنُونَ
52,2,4,3,بِمَا
53,2,4,4,أُنْزِلَ
54,2,4,5,إِلَيْكَ
55,2,4,6,وَمَا
56,2,4,7,أُنْزِلَ
57,2,4,8,مِنْ
58,2,4,9,قَبْلِكَ
59,2,4,10,وَبِالْآخِرَةِ
60,2,4,11,هُمْ
61,2,4,12,يُوقِنُونَ
62,2,5,1,أُولَٰئِكَ
63,2,5,2,عَلَىٰ
64,2,5,3,هُدًى
65,2,5,4,مِنْ
66,2,5,5,رَبِّهِمْ
67,2,5,6,وَأُولَٰئِكَ
68,2,5,7,هُمُ
69,2,5,8,الْمُفْلِحُونَ
70,2,6,1,إِنَّ
71,2,6,2,الَّذِينَ
72,2,6,3,كَفَرُوا
73,2,6,4,سَوَاءٌ
74,2,6,5,عَلَيْهِمْ
75,2,6,6,أَأَنْذَرْتَهُمْ
76,2,6,7,أَمْ
77,2,6,8,لَمْ
78,2,6,9,تُنْذِرْهُمْ
79,2,6,10,لَا
80,2,6,11,يُؤْمِنُونَ
81,2,7,1,خَتَمَ
82,2,7,2,اللَّهُ
83,2,7,3,عَلَىٰ
84,2,7,4,قُلُوبِهِمْ
85,2,7,5,وَعَلَىٰ
86,2,7,6,سَمْعِهِمْ
87,2,7,7,وَعَلَىٰ
88,2,7,8,أَبْصَارِهِمْ
89,2,7,9,غِشَاوَةٌ
90,2,7,10,وَلَهُمْ
91,2,7,11,عَذَابٌ
92,2,7,12,عَظِيمٌ
93,2,8,1,وَمِنَ
94,2,8,2,النَّاسِ
95,2,8,3,مَنْ
96,2,8,4,يَقُولُ
97,2,8,5,آمَنَّا
98,2,8,6,بِاللَّهِ
99,2,8,7,وَبِالْيَوْمِ
100,2,8,8,الْآخِرِ
101,2,8,9,وَمَا
102,2,8,10,هُمْ
103,2,8,11,بِمُؤْمِنِينَ
104,2,9,1,يُخَادِعُونَ
105,2,9,2,اللَّهَ
106,2,9,3,وَالَّذِينَ
107,2,9,4,آمَنُوا
108,2,9,5,وَمَا
109,2,9,6,يَخْدَعُونَ
110,2,9,7,إِلَّا
111,2,9,8,أَنْفُسَهُمْ
112,2,9,9,وَمَا
113,2,9,10,يَشْعُرُونَ
114,2,10,1,فِي
115,2,10,2,قُلُوبِهِمْ
116,2,10,3,مَرَضٌ
117,2,10,4,فَزَادَهُمُ
118,2,10,5,اللَّهُ
119,2,10,6,مَرَضًا
120,2,10,7,وَلَهُمْ
121,2,10,8,عَذَابٌ
